Year,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine,Natural Forcing.Baseline Effective Radiative Forcing from Solar Output Variations,Natural Forcing.Baseline Effective Radiative Forcing from Volcanoes
1980,0.1996781036408246,1268.4820985835336,0.0880675362723338,0.1282507937280947
1981,0.2107891017110764,1315.1149173743866,0.08551684047155256,0.09246371575822325
1982,0.22178942746584,1358.3922935446349,0.0651190743582713,-0.040339282772455146
1983,0.2328528684443414,1401.703654493345,0.04253722621374005,-0.41700518323383096
1984,0.2439595214324693,1446.9489394685118,0.016133234514521352,-0.45325118087972316
1985,0.2564062903695854,1495.2114467226515,-0.017969646344853603,-0.12031176796923185
1986,0.2700131902011521,1545.1441053866,-0.0255203299386036,-0.0059311410299947
1987,0.2842961091986912,1598.417095601011,-0.01902268589563485,0.03101158729945515
1988,0.2995830760889734,1655.9529623037936,0.00892576381139635,0.08620884484802574
1989,0.3130459682785337,1706.6959709650223,0.062365570940302546,0.1264316975716987
1990,0.3244706912842952,1752.66756428177,0.08757611781530256,0.14170538663123933
1991,0.3335262964566653,1786.469490641493,0.0810004708426463,-0.13701163296396646
1992,0.3412499611560945,1813.5658878250945,0.06976024867467756,-1.0491976630296076
1993,0.3456422918493638,1819.1671297073483,0.0349475411551463,-1.250330576382529
1994,0.3490520941184601,1811.3229348792172,-0.00427233189172865,-0.4492347062918803
1995,0.3519895464704241,1792.7576574946042,-0.0218697928292286,0.001961356435951009
1996,0.3544072071009614,1771.5370089299404,-0.0307777273995411,0.1154999733549097
1997,0.3559030016109253,1750.1476300725462,-0.0286716482979786,0.15629735717042545
1998,0.3572345243473964,1746.8307225918916,0.002981940569208849,0.16899753565625486
1999,0.3583059664606789,1717.1773197945663,0.043683869280146295,0.17216721642720711
2000,0.3592521001557028,1697.988511981427,0.07348878871374005,0.17391213361364985
2001,0.3599657540591024,1664.4745980453552,0.08075866176061505,0.1727127265763023
2002,0.360382564702247,1641.2023363233773,0.07812216273717755,0.17368264688370014
2003,0.3604415338637338,1623.499311900271,0.0500801095145213,0.17083615047116962
2004,0.3602465057078562,1607.4198925330231,0.0060006539481150985,0.16852666635490224
2005,0.3602538949409957,1600.8493737448534,-0.020621745954228603,0.1608555712732972
2006,0.3601341433538403,1581.5190837312066,-0.03685415562219735,0.1371809830302858
2007,0.3602277332140967,1569.8509274051216,-0.0456138846261036,0.12298675073501855
2008,0.360403722012098,1552.914816438561,-0.05261074741907235,0.1273482115353012
2009,0.3602822442831363,1533.3872007158216,-0.0538821951729786,0.1199806234213078
2010,0.3601920887433898,1520.4672602401745,-0.0428369803292286,0.12233588373013975
2011,0.3598825337770674,1507.1554266346131,-0.0145765189034474,0.12352223420706779
2012,0.3592646000866799,1496.4725890114814,0.009791596330927549,0.12386604730230955
2013,0.3587904691891815,1483.316635346603,0.0211098214285838,0.1481733621908837
2014,0.3581280099599334,1470.044697359597,0.0301893624442088,0.1487249532361069
2015,0.3572155074946073,1461.5253106495252,0.02018158656530255,0.13278944517620794
2016,0.3562818377079126,1460.4421198861492,-0.01316383469734755,0.11881160884187025
2017,0.3553259976623947,1444.710495895543,-0.03649577183614665,0.10483377250753255
2018,0.3542753759263312,1433.5381605756331,-0.0434359359758923,0.09085593617319485
2019,0.352630883897,1418.886,-0.04578908134324185,0.0768780998388572
2020,0.350342991647,1414.1215000000002,-0.0435396212490241,0.06290026350451955
2021,0.348039773457,1400.5053,-0.02267456416026255,0.048922427170181845
2022,0.345645143407,1388.3156,0.01550628329582345,0.03494459083584415
2023,0.3423735809844309,1375.0076974521637,0.0467184610636475,0.02096675450150645
2024,0.3388626678655803,1361.5904495684167,0.062440557803419755,0.0069889181671688
2025,0.3351330453166926,1348.064725613059,0.05584589093831555,0.0
2026,0.331202769415074,1334.434623854986,0.032330809997449556,0.0
2027,0.3270883296777427,1320.7052919806158,0.007119408295829251,0.0
2028,0.3228048778042343,1306.8821796831426,-0.010704079779059801,0.0
2029,0.3183663467393074,1292.9707523204434,-0.024297810615700452,0.0
2030,0.3137855489583965,1278.976362641279,-0.0373261481441476,0.0
2031,0.3090742657972665,1264.904183613019,-0.0463319817338785,0.0
2032,0.3043326063973311,1250.645034211388,-0.049803160626890705,0.0
2033,0.2995649307300838,1236.4013295706586,-0.037894955562142396,0.0
2034,0.2947752224607454,1222.2343180299424,-0.00784215199687325,0.0
2035,0.2899669604253272,1208.1616061490242,0.01357980326853465,0.0
2036,0.2851432406082159,1194.1872370486117,0.0243950789168971,0.0
2037,0.280306851555667,1180.311012257244,0.0243609499638242,0.0
2038,0.2754603169732353,1166.5313958472484,0.015450292151769601,0.0
2039,0.2706059241933242,1152.846425345191,0.0028369406026579995,0.0
2040,0.2657457465328605,1139.254000990128,-0.020997754408519302,0.0
