Year,Albedo ERF
1919,-0.08273566180163829
1920,-0.08357548227032903
1921,-0.08443293155170936
1922,-0.08530996937488683
1923,-0.08620855546896895
1924,-0.08713064956306332
1925,-0.08807821138627751
1926,-0.08905320066771905
1927,-0.09005757713649548
1928,-0.09109330052171438
1929,-0.09216233055248332
1930,-0.09326461845634401
1931,-0.09438698609471276
1932,-0.09551098053557285
1933,-0.09661813455943694
1934,-0.09768998094681773
1935,-0.09870805247822793
1936,-0.0996538819341802
1937,-0.10050900209518725
1938,-0.10125494574176178
1939,-0.10187324565441645
1940,-0.10234607018605282
1941,-0.10268228819120546
1942,-0.10292665233980344
1943,-0.10312643799460089
1944,-0.10332892051835195
1945,-0.10358137527381074
1946,-0.10393107762373144
1947,-0.10442530293086813
1948,-0.10511132655797499
1949,-0.10603642386780614
1950,-0.10724787022311572
1951,-0.10877712050835582
1952,-0.1105787787460003
1953,-0.11258414666921142
1954,-0.11472452080010359
1955,-0.11693119766079117
1956,-0.1191354737733886
1957,-0.12126864566001021
1958,-0.1232620098427704
1959,-0.1250468628437836
1960,-0.12655901035829725
1961,-0.12779100263417234
1962,-0.12877416367876085
1963,-0.12954056831587157
1964,-0.13012229136931314
1965,-0.13055140766289433
1966,-0.13085999202042387
1967,-0.1310801192657104
1968,-0.13124386422256268
1969,-0.1313833017147894
1970,-0.13153050656619927
1971,-0.13171755338694024
1972,-0.13196947964886382
1973,-0.13228576333412628
1974,-0.1326600812746062
1975,-0.13308611030218198
1976,-0.1335575272487321
1977,-0.13406800894613505
1978,-0.13461123222626933
1979,-0.13518087392101347
1980,-0.13577061086224584
1981,-0.136374119881845
1982,-0.13698507826923745
1983,-0.1375972687089121
1984,-0.138204713298447
1985,-0.13880146720070113
1986,-0.1393815855785332
1987,-0.1399391235948021
1988,-0.1404681364123666
1989,-0.14096267919408553
1990,-0.1414168071028177
1991,-0.1418251507710606
1992,-0.14218877664521326
1993,-0.14251278578930954
1994,-0.1428023414229354
1995,-0.14306260676567661
1996,-0.14329874503711915
1997,-0.14351591945684883
1998,-0.14371929324445148
1999,-0.14391402961951305
2000,-0.1441052918016193
2001,-0.14429824301035626
2002,-0.14449804646530964
2003,-0.14470986538606542
2004,-0.14493886299220946
2005,-0.1451902025033275
2006,-0.14546904713900563
2007,-0.14578056011882956
2008,-0.1461299046623852
2009,-0.14652224398925842
2010,-0.14696274131903508
2011,-0.1474565598713011
2012,-0.14800886286564227
2013,-0.14862481352164456
2014,-0.14930957505889375
2015,-0.15006831069697577
2016,-0.15090618365547648
2017,-0.15182835715398166
2018,-0.15283999441207732
2019,-0.1539462586493493
2020,-0.15515231308538338
2021,-0.1564633209397655
