,Year,Concrete.CO2 Emissions[1],Emissions.CO2 Emissions from Energy[1],Emissions.CO2 Emissions from Food and Land Use[1],Emissions.N2O Emissions from Food and Land Use[1],Emissions.N2O Emissions from Other[1],Emissions.N2O Emissions from Energy[1],Emissions.CH4 Emissions from Energy[1],Emissions.CH4 Emissions from Food and Land Use[1],Emissions.CH4 Emissions from Other[1],Emissions.SO2 Emissions from Energy[1],Emissions.SO2 Emissions from Food and Land Use[1],Emissions.CO Emissions[1],Emissions.VOC Emissions[1],Emissions.NOx non AFOLU Emissions[1],Emissions.NOx AFOLU Emissions[1],Emissions.HFC134a eq Emissions[1]
10,1990,494.3894032249911,22235.52608367419,4976.803532058914,1416.33105,823.24663,6417.6919,127.53946689134705,128.452865336891,51.640323625571234,135.48690418998032,2.043314366334037,895.7368084854959,181.4499594173411,108.64244268407458,23.97249347959755,91.62189051905285
11,1991,508.3134152309024,22678.733865951297,4970.189742271475,1435.64169,836.25757,6316.2744,124.85227339937715,128.5797812189761,52.63009964008721,132.92871111985718,2.043314366334037,1081.9143083963988,223.29666320494044,109.24291670027776,29.263059953481164,96.83153975670517
12,1992,529.3937053452505,21999.697326743808,5258.219371477099,1453.39897,851.6053400000001,6344.8982,121.75884583518793,128.1872268867344,53.39927157808242,128.39747189956063,2.043314366334037,864.1565126763574,176.89413617954463,109.62199126213768,23.237607848036102,95.03203256743055
13,1993,552.2303010782136,22204.48496922052,4974.064580332537,1431.98509,870.51406,6296.828,120.29993919293211,129.37655460201145,54.01956829824352,126.3800730847918,2.043314366334037,894.6387933829789,183.5736827362124,110.66614229906948,24.986678318826225,104.241477678156
14,1994,589.4624240285746,22404.42243201037,5889.616447209572,1503.74235,867.56133,6362.546,120.29148569524052,130.2813024180808,54.95445547580833,123.2852363177599,2.043314366334037,1014.4598062695404,211.5638259222772,110.56670459452852,28.258745997640357,114.21354196208028
15,1995,623.521958552599,22909.52099761424,5432.623725719567,1599.74606,879.24128,6486.635,122.3149690270678,131.31052259134532,55.84038200807548,120.81163338117754,2.043314366334037,908.440686283304,187.8385397837826,112.08273729489392,26.3471391491864,130.6803000466891
16,1996,636.3978838405172,23622.75913664963,6012.78683153355,1646.93427,900.43784,6439.6312,127.14421500600751,131.57283863147617,56.529483355304,117.47973596117455,2.043314366334037,874.2706810448856,182.48131701401812,113.06167252110856,25.36220959221552,150.00890369412997
17,1997,662.3870221709143,23740.51411655189,7406.867458391268,1648.30332,857.5394699999999,6412.2405,128.51599661853902,129.75655296179102,57.228889212090685,117.2102638789124,2.043314366334037,1159.1123826861362,247.43688895447892,113.92103116126708,31.993916814814813,168.48908339460124
18,1998,660.1016661330564,23644.66707898288,6144.714533083002,1585.71893,908.24344,6579.8969,126.09594973470828,130.18701870198538,57.51124308726341,113.97983172675906,2.043314366334037,1036.1710204709998,215.2519188026711,113.36732189621662,33.56426192572291,190.24521091511144
19,1999,692.7083423093825,24162.03320344399,6003.159278809729,1544.96608,906.16595,6603.4477,124.63618628115428,131.40956115520876,58.17627667079426,108.47918436688498,2.043314366334037,894.2046697665621,188.61638392808507,111.89213769566943,28.41269319428009,207.6093961068031
