Year,CO2 Emissions,N2O Emissions,CH4 Emissions,SO2 emissions,SO2 Emissions
1750,9.306316740073434,158.390885137,41.93349361104804,2.415663206899377,2.415663206899377
1751,31.614578617084113,161.09551867,42.05635089097871,2.4168967184235637,2.4168967184235637
1752,53.919487797332735,163.71273435999998,42.179184876434334,2.4180603640802976,2.4180603640802976
1753,76.2317802387568,166.32990576,42.30194121363978,2.4191184349410957,2.4191184349410957
1754,98.5618438050945,168.94712145,42.42467314710947,2.4202448857741756,2.4202448857741756
1755,120.82870079313118,171.56432724,42.54735516384691,2.421179935286677,2.421179935286677
1756,143.15211759233623,174.18754378999998,42.67462730142975,2.428677898788893,2.428677898788893
1757,165.5431123001561,176.80474988,42.79720726618126,2.4298005982276205,2.4298005982276205
1758,187.87250532714137,179.42195537000003,42.9197362049398,2.4301616415818934,2.4301616415818934
1759,210.20197530126546,182.03917086,43.04221522696611,2.431489073590736,2.431489073590736
1760,232.58442521252894,184.65634206000001,43.164616600742235,2.432088826785452,2.432088826785452
1761,255.02495555698948,187.30646416,43.28702130230052,2.442368761867767,2.442368761867767
1762,277.4362423245561,189.94766971,43.40248092251201,2.4429568428170905,2.4429568428170905
1763,299.8826133232665,192.58887525999998,43.51788840746981,2.4442521172932805,2.4442521172932805
1764,322.2949773507764,195.23008081,43.633243757173936,2.4459608176907026,2.4459608176907026
1765,344.74845679945236,197.87128625000003,43.748548080885094,2.445629120479937,2.445629120479937
1766,367.18802713675257,200.52435735,43.87297385546907,2.45972220723017,2.45972220723017
1767,389.67143535827273,203.1655629,43.98817390867286,2.4598548635524526,2.4598548635524526
1768,412.19284080976286,205.80675845000002,44.103322935883696,2.461956186061091,2.461956186061091
1769,434.7129564806407,208.44796399,44.21842093710156,2.4635205098844954,2.4635205098844954
1770,457.23708073103506,211.08917054,44.33346680306575,2.4653600160500106,2.4653600160500106
1771,479.7163301429104,213.95633469000003,44.63217518440319,2.479282353376977,2.479282353376977
1772,502.1773247621427,216.81101715000003,44.92115978629868,2.4811663855885353,2.4811663855885353
1773,524.5689313829236,219.66569951999998,45.21007117698688,2.482927529181113,2.482927529181113
1774,546.9801815089954,222.52038288,45.49890713794634,2.4854125260768307,2.4854125260768307
1775,569.5136676612774,225.37506525,45.7876687784378,2.4876363907744437,2.4876363907744437
1776,592.0358499124543,228.24291521000004,46.08653245627556,2.5038619029426155,2.5038619029426155
1777,614.5482415562564,231.10011753,46.375144346570266,2.5061341920452955,2.5061341920452955
1778,637.0391649483328,233.95740916,46.66368302565768,2.5077824595546745,2.5077824595546745
1779,659.5378966429228,236.81478821,46.95214627501636,2.5118653446588333,2.5118653446588333
1780,682.0883661279829,239.67228997000004,47.24056182616423,2.5133220593979777,2.5133220593979777
1781,704.651004253422,242.46687604,47.42526150030753,2.5320522191316157,2.5320522191316157
1782,727.2045589523332,245.24491299,47.59698393332702,2.5334870596049015,2.5334870596049015
1783,749.893339087314,248.02313552,47.76866088665713,2.5368216227706135,2.5368216227706135
1784,772.5086640179351,250.80146327,47.940239115783456,2.5383173041089573,2.5383173041089573
1785,795.209686076284,253.648235,48.11177519300255,2.539871632426948,2.539871632426948
1786,817.8990414827309,256.44820219999997,48.29968395839906,2.563715985998472,2.563715985998472
1787,840.5176568195733,259.22702643,48.4710691761607,2.56445163207578,2.56445163207578
1788,863.1517421954642,262.00595576,48.642355669718555,2.5642199181354552,2.5642199181354552
1789,885.9359257901099,264.78507969000003,48.81359557432631,2.5656441054141164,2.5656441054141164
1790,908.677583266045,267.56435411,48.98476337698748,2.5682645210806347,2.5682645210806347
1791,931.4182294367271,270.47998746999997,49.08687859077796,2.5896072598769027,2.5896072598769027
1792,954.6227019676545,273.42133083,49.1743404705018,2.596713442096487,2.596713442096487
1793,977.1977285824408,276.31743604,49.26018615736151,2.5976691040537,2.5976691040537
1794,999.6270979276256,279.20893694,49.345770058692096,2.597877766911436,2.597877766911436
1795,1021.629648822179,282.10461673,49.4314415916193,2.598404685410798,2.598404685410798
1796,1043.6427341464494,285.01781783,49.5242856043402,2.6088835014353307,2.6088835014353307
1797,1065.8184014467076,287.92538066000003,49.61794492368783,2.6207948567301913,2.6207948567301913
1798,1089.0412606796592,290.83274301,49.71045393967232,2.6312068817566283,2.6312068817566283
1799,1115.6276845419832,293.74567793,49.80519811600081,2.642560132666405,2.642560132666405
1800,1143.148012163788,296.86162645,49.89916691908838,2.658920784203898,2.658920784203898
1801,1164.5426440203166,300.10851581,50.163476016342514,2.6610722500845574,2.6610722500845574
1802,1195.0743748662467,303.50290381,50.47001466907862,2.703851042142967,2.703851042142967
1803,1206.5089324348494,306.79049283,50.71726777355392,2.7002629428889917,2.7002629428889917
1804,1230.9466624083905,310.11829959,51.01048309582262,2.716034905673623,2.716034905673623
1805,1252.6362473045424,313.39433137000003,51.256656889620636,2.7237700070937167,2.7237700070937167
1806,1276.296078346298,316.64811109,51.53293269148575,2.7432476754556077,2.7432476754556077
1807,1301.9992186740233,320.1082583,51.80207483768223,2.7566188842381387,2.7566188842381387
1808,1323.5032913468242,323.1989373,52.0605414587419,2.747771394750563,2.747771394750563
1809,1346.5463177880986,326.4633894,52.324236025559024,2.7498434948700505,2.7498434948700505
1810,1371.9119093386505,329.73509359999997,52.61402373221337,2.759687857842203,2.759687857842203
1811,1394.8032729693473,333.3366209,52.83642163181121,2.7838531809041633,2.7838531809041633
1812,1417.6481092301158,336.94605390000004,53.0546986278468,2.799554492600458,2.799554492600458
1813,1440.2467073184216,340.531222,53.262150348548815,2.8046479136783105,2.8046479136783105
